objectid,filename,youtubeid,vimeoid,title,region,exhibitionyear,exhibitionyears,organizinginst,organ-inst-loc,exhibition-site,touring,tour-stops,artists,artist-count,language,,catalog-isbn,worldcat-link,catalog-link,review-1,review-2,review-3,synopsis,annotation,author
coll001,,,,Relational Undercurrents: Contemporary Art of the Caribbean Archipelago,Caribbean; Caribbean diaspora,2017,September 2017–January 2018,Museum of Latin American Art (MOLAA),"Long Beach, CA, USA","""MOLAA: https://molaa.org/relational-undecurrents 
WALLACH: https://wallach.columbia.edu/exhibitions/relational-undercurrents-contemporary-art-caribbean-archipelago 
SUGAR HILL: https://www.sugarhillmuseum.org/relational-undercurrent 
FROST FIU: https://frost.fiu.edu/whats-on/events/2018/10/relational-undercurrents.html 
PORTLAND: https://www.portlandmuseum.org/relational-undercurrents
DELAWARE: https://delart.org/researchers/exhibition-history/ """,yes,"Wallach Gallery and Sugar Hill Children's Museum of Art and Storytelling (June 1 - September 23, 2018); Patricia and William Frost Art Museum at FIU (October 13, 2018 — Sunday, January 13, 2019); Portland Museum of Art (February 1, 2019 to May 5, 2019); Delaware Art Museum (June 22, 2019 – September 8, 2019)","Elia Alba, Allora & Calzadilla, Ewan Atkinson, Nicole Awai, David Bade, René Emil Bergsma, Samir Bernárdez, Jorge Luis Bradshaw, Ernest Breleur, Charles Campbell, María Magdalena Campos-Pons, Tony Capellán, Fermín Ceballos, Vladimir Cybil Charlier, Camille Chedda, Nayda Collazo-Llorens, Natusha Croes, Tony Cruz, Blue Curry, Maksaens Denis, Jean-Ulrick Désert, Humberto Díaz, Edouard Duval-Carrié, Jeannette Ehlers, Edgar Endress with incarcerated Haitians, Sofía Gallisá Muriente, Lilian Garcia-Roig, Maria Elena González, Andil Gosine, Marlon Griffith, David Gumbs, Quisqueya Henríquez, Sasha Huber, Charles Juhasz-Alvarado, Jean-Luc de Laguarigue, Marc Latamie, Glenda León, Sofia Maldonado, Carlos Martiel, María Martínez-Cañas and Kim Brown, Jason Mena, Ibrahim Miranda, Kishan Munroe, Angel Otero, Raquel Paiewonsky, Lynn Parotti, Manuel Piña, Jorge Pineda, Barbara Prézeau, Jimmy Robert, Glenda Salazar Leyva, Beatriz Santiago Muñoz, Nyugen Smith, Lisa C Soto, Ellen Spijkstra, Sandra Stephens and David Sansone, and Didier William; Firelei Báez, Christopher Cozier, Ricardo de Armas, Humberto Díaz, Jeannette Ehlers, Frances Gallardo, Scherezade Garcia, Marlon Griffith, Adler Guerrier, Quisqueya Henríquez, Nadia Huggins, Karlo Andrei Ibarra, Deborah Jack, Miguel Luciano, Jason Mena, Manuel Piña, Marianela Orozco, Charo Oquet, Fausto Ortiz, Ebony G. Patterson, Beatriz Santiago Muñoz, Roberto Stephenson, Juana Valdes, and Limber Vilorio; Joiri Minaya",82,English,Tatiana Flores,"9781934491577, 9781934491584, 1934491578, 1934491586",https://search.worldcat.org/title/989766858,,https://www.latimes.com/entertainment/arts/miranda/la-et-cam-relational-undercurrents-molaa-20180222-htmlstory.html,https://contemporaryartreview.la/relational-undercurrents-contemporary-art-of-the-caribbean-archipelago-at-the-museum-of-latin-american-art-molaa/,https://hyperallergic.com/459813/relational-undercurrents-contemporary-caribbean-art-wallach-art-gallery/,"Relational Undercurrents: Contemporary Art of the Caribbean Archipelago was a large-scale group exhibition curated by Tatiana Flores for the Museum of Latin American Art (MOLAA) in Long Beach, California presented as part of the Getty Foundation’s Pacific Standard Time: LA/LA initiative (September 2017–January 2018). Featuring the work of more than eighty artists from across the insular Caribbean and its diasporas from the 1980s onward, the exhibition constituted one of the most extensive museum surveys of contemporary Caribbean art to date. Relational Undercurrents brought together artists from the Anglophone, Francophone, Hispanophone, and Dutch Caribbean organized into four thematic sections—Conceptual Mappings, Perpetual Horizons, Landscape Ecologies, and Representational Acts. It included a wide range of media such as painting, installation, photography, video, performance, and sculpture. The curatorial text notes a shift in methodological frames from discourses of hybridity and cultural diversity to archipelagic thinking, which emphasizes connections and continuities. An illustrated catalogue accompanied the exhibition, featuring essays that addressed Caribbean art in relation to diaspora, decolonial thought, and regional histories with texts by Tatiana Flores, Michelle A. Stephens, Jerry Philogene, Rocío Aranda-Alvarado, Antonio Eligio (Tonel), Laura Roulet, Nelson Maldonado-Torres, and Nicholas Laughlin.","Part of Pacific Standard Time: LA/LA, a Getty-funded initiative that fostered collaboration among more than seventy cultural institutions across Southern California (2017–18), Relational Undercurrents emerged within a framework that explicitly sought to connect Los Angeles with Latin America and Latina/o/x/e communities. Relational Undercurrents aspired to intervene in the exhibition history of Caribbean art by shifting from an interpretive framework emphasizing fragmentation and heterogeneity toward one premised on relationality and connectivity. As Tatiana Flores and Michelle A. Stephens note, the project began as an inquiry into what might emerge if Caribbean art were disentangled from a Latin Americanist narrative and instead understood through “a story that is only about islands” (19). Rather than organizing the region along linguistic, national, or imperial lines, then, Flores advanced an archipelagic model that conceptualizes the Caribbean as a networked space defined by connection, rupture, and entanglement. This approach draws on Caribbean intellectual traditions associated with Édouard Glissant and Antonio Benítez-Rojo while also engaging more recent decolonial thought. By privileging relation over separation, the exhibition challenged both the continental bias of Latin American frameworks and the oceanic bias of diaspora models, which often displaces attention away from the insular. Across its four thematic sections, the exhibition foregrounds coloniality, environmental precarity, and the afterlives of slavery.",L. Urbain
coll002,,,,,,,,,,,,,,,,,,,,,,,,,
coll003,,,,,,,,,,,,,,,,,,,,,,,,,
coll004,,,,,,,,,,,,,,,,,,,,,,,,,
coll005,,,,,,,,,,,,,,,,,,,,,,,,,
coll006,,,,,,,,,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,,,,,,,,
